text,intent
I cried about money problems today so,emotional-support
it hurts that school,emotional-support
have you tried losing my friend,small-talk
I'm burned out from the project hmm,emotional-support
update the update my resume!!,action-item
don't let me forget to go to the gym,reminder
could you just listen for a bit,emotional-support
don't let me sleep through the alarm,reminder
pay the bills this for me please,action-item
I cried about the game last night today,emotional-support
so I feel so hopeless,emotional-support
uh what are you doing this trip!,small-talk
yo everything feels hopeless,emotional-support
Ping Me About Water The Plants Tomorrow,reminder
did you see work yesterday!!,small-talk
would you mind calling mom uh,action-item
I'm doing upset today,emotional-support
I'm burned out from work,emotional-support
I need to remember to call the dentist um like,reminder
uh don't let me forget to call the dentist,reminder
finish call the dentist by tomorrow,action-item
did you see travel plans yesterday,small-talk
handle submit the report please,action-item
remind me to charge my phone at this evening,reminder
so schedule a notifyer for clean the house,reminder
how are you doing well,small-talk
hey I'm really struggling with travel plans,emotional-support
schedule a pinger for go to the gym...,reminder
arrange check the mail for the meeting,action-item
so haha that's funny,small-talk
sounds good?,small-talk
HEY ALERT ME TO FEED THE CAT,reminder
I need to not forget this time,reminder
I just want someone to understand!,emotional-support
Review The Pick Up Prescriptions,action-item
how's your day going!!,small-talk
so put a reminder for call the dentist,reminder
Note To Self: Water The Plants,reminder
pinger: pick up prescriptions,reminder
someone has to handle the inventory,action-item
I CRIED ABOUT TRAVEL PLANS TODAY,emotional-support
I just need to vent about my family,emotional-support
yo review the pick up the kids...,action-item
finish do the laundry by tomorrow?,action-item
make sure I book the appointment on Friday,reminder
I'm stressed about my grades uh,emotional-support
let's feed the cat,action-item
well what have you been up to!,small-talk
um hope you're well,small-talk
yo oh man,small-talk
oh really,small-talk
submit the update my resume,action-item
I NEED SOME COMFORT RIGHT NOW,emotional-support
could you buy groceries,action-item
I'm going sad today,emotional-support
make sure i pick up prescriptions on friday,reminder
please book the appointment,action-item
yo hmm merge the pull request when ready,action-item
organize clean the house,action-item
make sure I update my resume in the morning,reminder
would you mind reviewing the document,action-item
that reminds me of something funny,small-talk
I'm anxious about the weekend,emotional-support
make sure I send the email in the morning,reminder
don't let me forget to feed the cat,reminder
"I SHOULD BACKUP MY FILES, REMIND ME",reminder
for real though,small-talk
please notify me to call mom after work,reminder
so anyway,small-talk
It Hurts That That New Movie hey,emotional-support
don't forget to pay the bills?,reminder
"I should go to the gym, remind me",reminder
like I cried about that new movie today,emotional-support
I feel like giving up sometimes?,emotional-support
What Have You Been Up To Uh,small-talk
charge my phone this for me please!!,action-item
"I should water the plants, remind me!",reminder
I'm having a bad day,emotional-support
take care of check the mail so!,action-item
I'M ANXIOUS ABOUT TRAVEL PLANS,emotional-support
update the take the medicine,action-item
I'm burned out from my parents,emotional-support
what do you think about everything,small-talk
have a nice day,small-talk
Sounds Good,small-talk
create a take the medicine?,action-item
reminder: call the dentist,reminder
what's up!,small-talk
set a reminder for return the library books,reminder
I'm stressed about the weekend,emotional-support
I keep forgetting to pick up prescriptions,reminder
"I should update my resume, remind me",reminder
why does everything go wrong for me,emotional-support
review the renew my subscription,action-item
I'm really struggling with money problems!!,emotional-support
I Miss The Way Things Were,emotional-support
I cried about the weekend today...,emotional-support
hey I feel overwhelmed by my relationship,emotional-support
so I just want someone to understand,emotional-support
Same Here,small-talk
what are you doing this weekend,small-talk
schedule a alerter for clean the house,reminder
what have you been up to,small-talk
I need someone to talk to like,emotional-support
the report won't write itself,action-item
schedule a reminder for renew my subscription...,reminder
did you see losing my friend yesterday,small-talk
i'm really struggling with the weekend,emotional-support
put a reminder for water the plants,reminder
please notify me to call the dentist tomorrow hmm,reminder
I must remember to file taxes...,reminder
some days are harder than others,emotional-support
hey SET UP TAKE THE MEDICINE,action-item
Same Here Um,small-talk
"I should feed the cat, remind me yo",reminder
it hurts that my career so,emotional-support
like yo fix the file taxes,action-item
send book the appointment to the team,action-item
I'm anxious about my career,emotional-support
yo I know right,small-talk
JUST CHECKING IN,small-talk
I'm stressed about moving away,emotional-support
note to self: file taxes?,reminder
Cool,small-talk
um could you submit the report,action-item
same here well,small-talk
I Must Remember To Submit The Report!!,reminder
ARRANGE TAKE THE MEDICINE FOR THE MEETING,action-item
like don't let me forget to pick up prescriptions,reminder
OH REALLY,small-talk
I don't know what to do about moving away?,emotional-support
Yeah Totally,small-talk
like what's up,small-talk
I'm feeling really lonely uh,emotional-support
nice weather today?,small-talk
what's new with you,small-talk
merge the pull request when ready,action-item
put a reminder for update my resume,reminder
what do you think about music,small-talk
"I should send the email, remind me",reminder
I'm burned out from moving away,emotional-support
good morning,small-talk
update the backup my files,action-item
See You Later!!,small-talk
well review the feed the cat,action-item
haha nice,small-talk
can you just listen for a bit...,emotional-support
it slipped my mind to call the doctor,reminder
uh long time no see,small-talk
so just checking in,small-talk
we should probably get that done!!,action-item
HOW WAS YOUR BIRTHDAY HEY,small-talk
note to self: check the mail so hmm,reminder
I just need to vent about my boss,emotional-support
alert me to pay the bills this evening,reminder
uh I just need to vent about money problems,emotional-support
reminder: renew my subscription hmm,reminder
um I'm anxious about my relationship,emotional-support
check the mail this for me please uh,action-item
can you just listen for a bit,emotional-support
i feel like i'm falling apart hey,emotional-support
hey I'm burned out from the game last night,emotional-support
yo set up pick up the kids,action-item
I Feel Overwhelmed By The Game Last Night,emotional-support
Remind Me To Feed The Cat At On Friday,reminder
make sure I send the email next Monday,reminder
I need to remember to take the medicine!,reminder
SUBMIT THE RETURN THE LIBRARY BOOKS,action-item
FIX THE FILE TAXES,action-item
send submit the report to the team?,action-item
complete the feed the cat!,action-item
for real though,small-talk
that's wild,small-talk
cool...,small-talk
uh I need to remember to go to the gym,reminder
uh beautiful day isn't it,small-talk
just checking in like,small-talk
I need to remember to update my resume!!,reminder
I cried about my parents today!!,emotional-support
lol,small-talk
make sure I water the plants in an hour like,reminder
I'm tired of pretending I'm okay,emotional-support
let's check the mail...,action-item
push the changes to production,action-item
well it hurts that my parents,emotional-support
organize buy groceries,action-item
I'M Feeling Exhausted Today,emotional-support
I feel like giving up sometimes,emotional-support
don't let me forget to backup my files,reminder
well how are you doing,small-talk
I just need to vent about the project,emotional-support
make sure to send the email um,action-item
I'm really struggling with the game last night,emotional-support
how was your morning?,small-talk
I have to remember the anniversary hmm,reminder
well note to self: pay the bills,reminder
I must remember to pick up the kids,reminder
I just need to vent about the future,emotional-support
complete the buy groceries,action-item
go ahead and pick up the kids,action-item
I Cried About My Family Today,emotional-support
I'm so down right now,emotional-support
can you remind me about file taxes,reminder
I'm so frustrated right now,emotional-support
like send take the medicine to the team,action-item
what's new with you!!,small-talk
handle book the appointment please...,action-item
schedule a reminder for update my resume,reminder
don't let me forget to go to the gym!,reminder
remind me to pay the bills at this evening,reminder
HAVE A NICE DAY?,small-talk
I feel like I'm falling apart,emotional-support
uh good morning,small-talk
I feel overwhelmed by my parents,emotional-support
I must remember to feed the cat,reminder
Handle Clean The House Please,action-item
have a nice day? like,small-talk
note to self: pick up the kids uh,reminder
I can't stop thinking about what happened,emotional-support
MAKE SURE I BOOK THE APPOINTMENT AFTER WORK?,reminder
schedule charge my phone,action-item
hey remind me to return the library books,reminder
I'm feeling empty today well,emotional-support
what do you think about my health,small-talk
I miss the way things were,emotional-support
same here yo,small-talk
arrange update my resume for the meeting...,action-item
hey hey remind me to pick up the kids,reminder
remind me to do the laundry at this evening?,reminder
update the charge my phone?,action-item
Long Time No See!!,small-talk
I keep forgetting to pick up prescriptions hmm,reminder
please remind me to feed the cat next Monday...,reminder
how is your day going,small-talk
How Are You Doing,small-talk
alert me to call mom tonight,reminder
I just need to vent about the weather?,emotional-support
that's interesting?,small-talk
can you pick up prescriptions for me,action-item
what are you doing this birthday?,small-talk
take care of call the dentist,action-item
um I'm having a bad day well,emotional-support
I'm feeling overwhelmed today,emotional-support
Review The Do The Laundry,action-item
reminder: pay the bills,reminder
don't let me forget to clean the house,reminder
i'm burned out from my parents,emotional-support
reminder: clean the house,reminder
hmm cool,small-talk
happy friday,small-talk
like set a reminder for do the laundry,reminder
have you tried my relationship,small-talk
what do you think about work,small-talk
I feel overwhelmed by my relationship,emotional-support
yo can you update my resume for me,action-item
what do you think about the breakup! hey,small-talk
don't forget to return the library books,reminder
i need a notifyer to pick up the kids,reminder
prepare the charge my phone,action-item
handle check the mail please,action-item
alert me to update my resume tomorrow,reminder
hmm what have you been up to hey,small-talk
I'm really struggling with my career... like,emotional-support
please remind me to check the mail tonight,reminder
memo: dentist appointment Thursday,reminder
what's up like hmm,small-talk
go ahead and check the mail,action-item
uh would you mind watering the plants,action-item
I don't know what to do about my health...,emotional-support
notify me to backup my files at this evening,reminder
alert me to call the dentist in an hour,reminder
I know right,small-talk
I cried about the weather today...,emotional-support
complete the charge my phone,action-item
I Need Some Comfort Right Now,emotional-support
so cool hmm,small-talk
Yeah Totally!!,small-talk
I must remember to backup my files,reminder
I need some comfort right now!!,emotional-support
I'm going heartbroken today well,emotional-support
I know right?,small-talk
so put a pinger for pick up prescriptions,reminder
Hey Remind Me To Do The Laundry,reminder
submit the clean the house,action-item
I feel so confused,emotional-support
well can you do the laundry for me,action-item
update the call mom,action-item
would you mind picking up the kids,action-item
hey remind me to take the medicine hmm,reminder
can you remind me about check the mail,reminder
I must remember to call the dentist,reminder
update the file taxes,action-item
like finish charge my phone by tomorrow,action-item
I'm really struggling with money problems...,emotional-support
That'S Interesting,small-talk
hey I feel like I'm falling apart,emotional-support
UM WOULD YOU MIND FIXING THE BUG,action-item
i'm not doing well emotionally!,emotional-support
schedule call mom like,action-item
anything new!,small-talk
yeah totally?,small-talk
I must remember to update my resume,reminder
like PLEASE CLEAN THE HOUSE,action-item
well schedule call mom...,action-item
uh we need to send the email,action-item
finish book the appointment by tomorrow,action-item
prepare the pick up prescriptions,action-item
I Miss The Way Things Were!!,emotional-support
yo make sure I submit the report after work,reminder
please ping me to file taxes after work yo,reminder
what's new with you um,small-talk
note to self: clean the house,reminder
um I'm not doing well emotionally,emotional-support
yo I MISS THE WAY THINGS WERE,emotional-support
I need someone to talk to... well,emotional-support
finish pick up the kids by tomorrow hey,action-item
HAVE A NICE DAY,small-talk
hey like what do you think about the breakup,small-talk
make sure I check the mail this evening?,reminder
I NEED A REMINDER TO UPDATE MY RESUME um,reminder
uh LONG TIME NO SEE,small-talk
set up charge my phone,action-item
yo I feel like nobody understands me!,emotional-support
could you call the dentist for me,action-item
haha that's funny so?,small-talk
What Are You Doing This Evening,small-talk
someone has to handle the inventory,action-item
Add Do The Laundry To My Reminders,reminder
could you water the plants,action-item
add send the email to my reminders,reminder
hope you're well!,small-talk
I feel so lonely,emotional-support
I Cried About Money Problems Today,emotional-support
would you mind cleaning up...,action-item
I'M NOT DOING WELL EMOTIONALLY!,emotional-support
finish book the appointment by tomorrow!!,action-item
how's your day going!,small-talk
arrange pick up prescriptions for the meeting... uh,action-item
I'm so heartbroken right now,emotional-support
same here well yo,small-talk
no way,small-talk
SEE YOU LATER,small-talk
I Need A Reminder To Buy Groceries,reminder
pls call mom!!,action-item
hows it going,small-talk
How'S It Going,small-talk
don't forget to buy groceries!,reminder
go ahead and file taxes...,action-item
hey see you later...,small-talk
Set Up Book The Appointment,action-item
I'm not doing well emotionally,emotional-support
review the check the mail,action-item
I feel so upset,emotional-support
send send the email to the team,action-item
yeah totally so,small-talk
hey I'm anxious about my health,emotional-support
fix the go to the gym,action-item
I'm stressed about losing my friend uh,emotional-support
i feel overwhelmed by school,emotional-support
happy Monday,small-talk
how's it going,small-talk
uh nice weather today,small-talk
uh note to self: pick up the kids,reminder
uh finish pick up prescriptions by tomorrow,action-item
schedule a reminder for take the medicine,reminder
I keep forgetting to backup my files,reminder
I need you to submit the report,action-item
Long Time No See,small-talk
fix the send the email,action-item
set up pick up the kids,action-item
haha that's funny hey,small-talk
what are you doing this week like,small-talk
I'm so confused right now,emotional-support
go ahead and backup my files,action-item
I just need to vent about the weekend!,emotional-support
just checking in...,small-talk
"yo I should check the mail, remind me",reminder
so see you later,small-talk
could you do the laundry!,action-item
ping me about backup my files tomorrow,reminder
I feel overwhelmed by that new movie,emotional-support
I need a reminder to take the medicine,reminder
organize charge my phone,action-item
prepare the do the laundry like,action-item
just checking in!,small-talk
we should probably get that done,action-item
nice weather today...,small-talk
note to self: book the appointment,reminder
did you see my health yesterday,small-talk
just checking in!!,small-talk
hey what's new with you,small-talk
I'm so confused right now!,emotional-support
how was your birthday?,small-talk
did you see the game last night yesterday,small-talk
add update my resume to my reminders,reminder
update the feed the cat,action-item
hmm what are you doing this trip,small-talk
I CRIED ABOUT MY CAREER TODAY,emotional-support
make sure I feed the cat next Monday,reminder
happy birthday um,small-talk
finish go to the gym by tomorrow,action-item
like we need to take the medicine,action-item
I'm so hopeless right now,emotional-support
yo I'm feeling really lonely,emotional-support
Make Sure I Pick Up Prescriptions In An Hour!!,reminder
so can you remind me about file taxes um,reminder
remind me to file taxes at next Monday...,reminder
complete the update my resume!!,action-item
prepare the backup my files,action-item
what do you think about school,small-talk
handle charge my phone please,action-item
please remind me to backup my files tomorrow,reminder
I Know Right,small-talk
I FEEL LIKE NOBODY UNDERSTANDS ME!!,emotional-support
long time no see uh,small-talk
FINISH WATER THE PLANTS BY TOMORROW,action-item
did you see my family yesterday,small-talk
please alert me to pick up the kids at noon,reminder
schedule renew my subscription so,action-item
that reminds me of something funny,small-talk
push the changes to production,action-item
hey I feel like nobody understands me,emotional-support
hmm organize charge my phone,action-item
hey well anything new,small-talk
so I cried about everything today uh,emotional-support
how's your day going hmm,small-talk
CAN YOU JUST LISTEN FOR A BIT,emotional-support
add go to the gym to my alerters,reminder
yo I keep forgetting to feed the cat,reminder
it hurts that travel plans,emotional-support
submit the return the library books,action-item
what do you think about the game last night,small-talk
complete the call the dentist,action-item
Go Ahead And Call The Dentist...,action-item
that's interesting um,small-talk
Schedule A Reminder For Pick Up The Kids,reminder
I'm feeling depressed today,emotional-support
what do you think about moving away!,small-talk
what do you think about moving away,small-talk
I'm being really lonely,emotional-support
what are you doing this trip?,small-talk
set a notifyer for call the dentist so,reminder
beautiful day isn't it,small-talk
ping me about backup my files this evening,reminder
like nice weather today,small-talk
note to self: call mom hey,reminder
FINISH BUY GROCERIES BY TOMORROW,action-item
put a reminder for pay the bills,reminder
long time no see?,small-talk
organize go to the gym,action-item
don't forget to book the appointment?,reminder
take care of feed the cat,action-item
arrange go to the gym for the meeting,action-item
schedule a reminder for send the email...,reminder
yo ping me about feed the cat next Monday,reminder
I need to not forget this time,reminder
hope you're well like,small-talk
don't forget to charge my phone hmm,reminder
I'm burned out from school,emotional-support
I'm stressed about my family like,emotional-support
I Feel Overwhelmed By My Family so,emotional-support
can you ping me about renew my subscription,reminder
well Note To Self: Charge My Phone,reminder
I'm really struggling with money problems?,emotional-support
well I'm stressed about that new movie,emotional-support
hey cool,small-talk
ping me about clean the house next week uh,reminder
uh Let'S Book The Appointment,action-item
set up water the plants,action-item
cool hey,small-talk
beautiful day isn't it...,small-talk
check the mail this for me please,action-item
Can You Just Listen For A Bit!,emotional-support
I need a reminder to renew my subscription!!,reminder
like I need some comfort right now?,emotional-support
IT HURTS THAT TRAVEL PLANS uh,emotional-support
i need to remember to renew my subscription,reminder
I'm anxious about money problems...,emotional-support
set up do the laundry...,action-item
I need someone to talk to so,emotional-support
I'm burned out from money problems!,emotional-support
I'm stressed about work,emotional-support
i'm feeling lonely today!,emotional-support
sounds good,small-talk
could you pay the bills uh!,action-item
I'M Really Struggling With Moving Away,emotional-support
make sure I feed the cat on Friday,reminder
set up file taxes,action-item
create a renew my subscription,action-item
yo update the pay the bills,action-item
uh hey there,small-talk
so I don't know what to do about losing my friend!!,emotional-support
it hurts that the breakup!,emotional-support
I just want someone to understand,emotional-support
hows your day going uh,small-talk
set up book the appointment,action-item
I'M Doing Scared Today,emotional-support
hey there yo,small-talk
remind me to water the plants at after work,reminder
prepare the pick up the kids...,action-item
like good morning,small-talk
I'm anxious about my career like!,emotional-support
what are you doing this birthday! hey,small-talk
hmm I need someone to talk to,emotional-support
sounds good!!,small-talk
i'm so frustrated right now hey,emotional-support
Nice Weather Today,small-talk
hey alert me to pay the bills,reminder
everything feels hopeless,emotional-support
anything new like uh,small-talk
yeah totally!!,small-talk
did you see cooking yesterday,small-talk
I'm doing lost today,emotional-support
what do you think about my family,small-talk
prepare the file taxes,action-item
I don't know what to do about the weather,emotional-support
schedule update my resume,action-item
did you see the game last night yesterday...,small-talk
let's clean the house...,action-item
SUBMIT THE BUY GROCERIES,action-item
like hows it going,small-talk
let's take the medicine...,action-item
so don't forget to pick up prescriptions,reminder
hmm review the clean the house!,action-item
I'm so empty right now?,emotional-support
handle take the medicine please...,action-item
so cool...,small-talk
GOOD MORNING,small-talk
alert me to clean the house at 5pm like,reminder
I'm anxious about my boss hey,emotional-support
schedule pick up prescriptions,action-item
yo I must remember to feed the cat,reminder
schedule a reminder for pay the bills,reminder
hey I need someone to talk to,emotional-support
finish file taxes by tomorrow,action-item
hey would you mind reviewing the document,action-item
ping me to do the laundry at before lunch,reminder
I cried about my parents today,emotional-support
it hurts that money problems um so,emotional-support
I'm anxious about music,emotional-support
what do you think about my parents so,small-talk
ping me about feed the cat next Monday,reminder
how's your day going,small-talk
I'm having a bad day...,emotional-support
send check the mail to the team,action-item
can you submit the report for me,action-item
make sure to pick up the kids,action-item
I feel like I'm falling apart!,emotional-support
organize return the library books,action-item
see you later...,small-talk
yo good morning!!,small-talk
we need to take the medicine,action-item
I'm feeling down today,emotional-support
put a reminder for return the library books?,reminder
did you see school yesterday,small-talk
I need to remember to take the medicine,reminder
what's new with you...,small-talk
Book The Appointment This For Me Please,action-item
could you water the plants...,action-item
What'S Up,small-talk
the report won't write itself,action-item
I need you to send the email,action-item
set a reminder for renew my subscription,reminder
What Are You Doing This Day,small-talk
set a pinger for take the medicine,reminder
I'm anxious about moving away,emotional-support
organize backup my files,action-item
how was your morning,small-talk
hmm see you later,small-talk
YO CAN YOU CALL MOM FOR ME,action-item
WHAT'S UP,small-talk
add go to the gym to my reminders,reminder
create a feed the cat,action-item
how was your week,small-talk
DON'T LET ME FORGET TO CHECK THE MAIL,reminder
can you just listen for a bit so,emotional-support
do the laundry this for me please,action-item
I need to remember to backup my files,reminder
go ahead and water the plants,action-item
put a reminder for take the medicine um,reminder
schedule a reminder for send the email,reminder
oh man,small-talk
I need someone to talk to!!,emotional-support
I'm not doing well emotionally!,emotional-support
so um I feel so anxious,emotional-support
"I should file taxes, remind me",reminder
well prepare the call the dentist,action-item
submit the call mom,action-item
FIX THE SUBMIT THE REPORT,action-item
fix the file taxes?,action-item
submit the report this for me please,action-item
ping me about send the email in an hour,reminder
prepare the do the laundry,action-item
we need to backup my files,action-item
can you remind me about call the dentist...,reminder
Beautiful Day Isn'T It yo,small-talk
create a book the appointment,action-item
review the call the dentist,action-item
schedule a reminder for backup my files,reminder
"I should pick up prescriptions, remind me",reminder
don't let me sleep through the alarm,reminder
please ping me to clean the house at 5pm yo,reminder
don't forget to go to the gym,reminder
arrange buy groceries for the meeting,action-item
things have been really hard lately,emotional-support
I need you to take the medicine?,action-item
prepare the go to the gym?,action-item
I have to remember the anniversary,reminder
what are you doing this night,small-talk
I feel overwhelmed by my grades!!,emotional-support
could you take the medicine,action-item
I must remember to call mom!!,reminder
have you tried the breakup yo,small-talk
I'm so hurt right now,emotional-support
How Was Your Day hmm,small-talk
so sounds good,small-talk
how's it going!!,small-talk
that's interesting!,small-talk
yeah totally...,small-talk
Have A Nice Day,small-talk
what's up...,small-talk
anything new hmm,small-talk
put a reminder for water the plants!!,reminder
well good morning,small-talk
prepare the backup my files um,action-item
um MAKE SURE TO PICK UP THE KIDS,action-item
set a reminder for file taxes,reminder
we need to check the mail,action-item
have you tried everything,small-talk
I miss the way things were...,emotional-support
hmm fix the pick up prescriptions,action-item
long time no see,small-talk
i feel like i'm falling apart well,emotional-support
"I should renew my subscription, ping me well",reminder
I NEED TO REMEMBER TO FILE TAXES,reminder
